BatteryLevel,State,DistanceL,DistanceR,SpeedLExp,SpeedRExp,SpeedLBuff,SpeedRBuff,OutputL,OutputR
2.82,5,20.62,-780.49,-24.07,16.41,-135.25,105.19,-0.49,0.5
2.8,5,10.31,-770.18,-54.8,49.22,-99.96,99.96,-0.49,0.5
2.82,5,-1.47,-759.87,-77.69,70.11,-119.79,104.81,-0.49,0.5
2.82,5,-16.2,-749.56,-101.03,82.53,-147.23,103.06,-0.49,0.5
2.82,5,-32.4,-737.78,-120.78,93.15,-163.56,118.95,-0.49,0.5
2.82,5,-47.12,-727.48,-134.88,100.27,-150.24,105.17,-0.49,0.5
2.81,5,-63.32,-715.69,-140.99,103.39,-155.84,113.34,-0.49,0.5
2.82,5,-75.1,-705.39,-140.24,105.66,-116.54,101.97,-0.49,0.5
2.81,5,-83.94,-695.08,-122.43,103.77,-88.3,102.97,-0.49,0.5
2.82,5,-95.72,-684.77,-118.51,103.78,-120.06,105.05,-0.49,0.5
2.82,5,-107.5,-675.93,-114.83,101.43,-108.97,95.35,-0.49,0.5
2.82,5,-123.7,-664.15,-127.83,105.24,-161.8,117.67,-0.49,0.5
2.81,5,-138.43,-653.84,-138.84,106.31,-147.26,103.09,-0.49,0.5
2.81,5,-153.15,-642.06,-143.58,107.58,-147.19,117.75,-0.49,0.5
2.8,5,-164.93,-631.75,-142.09,106.31,-117.71,102.99,-0.49,0.5
2.81,5,-175.24,-621.45,-126.39,104.32,-89.23,104.1,-0.49,0.5
2.82,5,-188.5,-611.14,-123.97,105.44,-134.65,104.73,-0.49,0.5
2.81,5,-203.22,-600.83,-131.86,106.16,-145.75,102.02,-0.49,0.5
2.81,5,-212.06,-594.94,-133.32,103.31,-81.94,54.63,0.38,-0.36
2.81,5,-201.75,-602.3,-64.41,51.05,105.15,-75.11,0.38,-0.36
2.83,5,-189.97,-611.14,3.79,1.44,115.39,-86.54,0.38,-0.36
2.81,5,-178.19,-618.5,46.23,-31.19,117.71,-73.57,0.38,-0.36
2.81,5,-169.35,-625.86,65.75,-49.71,88.22,-73.52,0.38,-0.36
2.82,5,-163.46,-634.7,68.72,-60.7,60.1,-90.15,0.38,-0.36
2.81,5,-157.57,-642.06,64.04,-65.74,60.13,-75.16,0.38,-0.36
2.81,5,-148.73,-649.43,67.41,-69.38,84.89,-70.74,0.38,-0.36
2.82,5,-138.43,-656.79,81.85,-72.74,105.4,-75.29,0.38,-0.36
2.82,5,-126.65,-664.15,94.43,-74.77,113.27,-70.79,0.38,-0.36
2.82,5,-114.86,-672.99,103.75,-76.65,120.12,-75.08,0.38,-0.36
2.82,5,-103.08,-681.82,107.79,-78.93,118.86,-89.15,0.38,-0.36
2.82,5,-91.3,-689.19,112.27,-80.76,114.18,-85.63,0.38,-0.36
2.81,5,-79.52,-696.55,113.02,-80.06,118.98,-74.36,0.38,-0.36
2.82,5,-72.16,-705.39,104.86,-80.2,74.98,-74.98,0.38,-0.36
2.81,5,-67.74,-712.75,87.47,-78.12,44.64,-74.6,0.38,-0.36
2.81,5,-60.38,-720.11,74.89,-76.9,74.42,-74.42,0.38,-0.36
2.81,5,-50.07,-727.48,79.1,-76.84,104.91,-74.94,0.38,-0.36
2.82,5,-39.76,-736.31,90.55,-77.74,105.48,-90.41,0.38,-0.36
2.82,5,-27.98,-743.67,100.16,-78.87,115.61,-72.25,0.38,-0.36
2.81,5,-22.09,-752.51,102.14,-80.37,68.13,-81.76,-0.39,-0.42
2.81,5,-33.87,-761.35,38.36,-81.93,-118.71,-89.03,-0.39,-0.42
2.81,5,-45.65,-770.18,-22.59,-84.73,-114.07,-85.55,-0.39,-0.42
2.81,5,-57.43,-779.02,-60.19,-87.03,-105.15,-90.13,-0.39,-0.42
2.82,5,-67.74,-787.85,-80.37,-87.81,-103.09,-88.37,-0.39,-0.42
2.81,5,-73.63,-796.69,-76.45,-87.18,-59.95,-89.92,-0.39,-0.42
2.81,5,-80.99,-805.52,-70.21,-87.33,-76.82,-92.19,-0.39,-0.42
2.81,5,-91.3,-814.36,-79.4,-88.26,-103.04,-88.32,-0.39,-0.42
2.82,5,-103.08,-823.2,-94.29,-88.95,-120.28,-90.21,-0.39,-0.42
2.82,5,-114.86,-832.03,-104.15,-88.6,-112.15,-84.12,-0.39,-0.42
2.82,5,-128.12,-840.87,-111.28,-88.92,-136.61,-91.07,-0.39,-0.42
2.81,5,-139.9,-849.7,-115.19,-90.11,-120.34,-90.26,-0.39,-0.42
2.81,5,-151.68,-858.54,-116.97,-88.57,-119.85,-89.88,-0.39,-0.42
2.81,5,-161.99,-867.37,-116.59,-89.94,-101.35,-86.87,-0.39,-0.42
